title,bio,org_description,position_org
Лаконцев Дмитрий Владимирович,<p>Окончил МФТИ в 2004 году. <br>Степень кандидата наук (PhD) в беспроводных сетях Института проблем передачи информации Российской академии наук (Институт Харкевича ) - IITP в 2007 году. <br>Совладелец и  генеральный директор компании IITP (до 60 сотрудников и 3 миллиона долларов годового дохода).<br>Эксперт в области телекоммуникационных систем и беспроводных технологий. <br>Исследовательские интересы - «Беспроводные технологии» и «Интернет вещей». <br></p>,"Сколковский институт науки и технологий (Сколтех) – негосударственный образовательно-исследовательский институт, который находится в Сколково (Россия, Московская область). Создан в 2011 году при участии Массачусетского технологического института (MIT. Модель Сколтеха предусматривает интеграцию образования и исследований, причем как фундаментальных, так и прикладных. Институт  тесно связан с промышленной и предпринимательской экосистемой, что позволяет развивать качественные исследования и генерировать приток инноваций в экономику.
","​​Доцент, Зав. лабораторией Интернета вещей Сколковского Института Науки и Технологий, Сколтех"
Dr. Tanya Joosten,,,Arizona State U.
АНО «Цифровая экономика».,,,
Дж. Биамонте,"Джейкоб Биамонте автор серии широко известных результатов в области теории и применения квантовых вычислений. Результаты включают в себя ранние доказательства универсальности квантовых вычислений адиабатической модели, методы программирования адиабатических квантовых компьютеров, анализ вычислительной сложности моделирования процессов физической химии с помощью квантового компьютера общего назначения. Биамонте провел десятки курсов связанных с квантовыми технологиями, консультировал компании и государственные учреждения. Биамонте приглашенный член Института Основополагающих вопросов, the Foundational Questions Institute (FQXi), член специальной комиссии Института Инженеров Электротехники и Электроники (IEEE) по квантовым технологиям, консультант стартап-инкубатора Toronto’s Creative Destruction Labs и стартапов, работающих в области квантового усовершенствования машинного обучения. Биамонте получил степень доктора наук (PhD) в Университете Оксфорда. Биамонте возглавляет лабораторию DeepQuantum Labs Сколтеха (http://deepquantum.ai/). 
",,Сколтех
Скобеева Виктория Александровна,"<p><strong>кандидат биологических наук,&nbsp; научный сотрудник МГУ имени М.В. Ломоносова, Биологический факультета,  автор 10 учебных курсов, 64 международный публикций </strong></p>",,Доцент Департамента молекулярной и биологической физики
Сперанская Анна Сергеевна,,,Научный сотрудник Центральный НИИ Эпидемиологии
Бухановский Александр Валерьевич,"<p>Директор <a href=""http://www.ifmo.ru/ru/viewfaculty/107/megafakultet_translyacionnyh_informacionnyh_tehnologiy.htm"">мегафакультета трансляционных информационных технологий</a> Университета ИТМО, руководитель Центра НТИ по сквозной технологии ""Технологии машинного обучения и когнитивные технологии"". Автор 270 публикаций (более 1,3 тыс. цитирований), 38 объектов интеллектуальной собственности. Подготовил 27 кандидатов наук и одного доктора технических наук.</p>","Санкт-Петербургский национальный исследовательский
университет информационных технологий, механики и оптики
Справка об организации (Описание, которое понятно для потенциальных студентов\ пользователей): Университет ИТМО (Полное название — ""Федеральное государственное автономное образовательное учреждение высшего образования «Санкт-Петербургский национальный исследовательский университет информационных технологий, механики и оптики») — государственный ВУЗ Санкт-Петербурга, один из национальных исследовательских университетов  России. Является одним из лидеров в подготовке специалистов в области передовых информационных и оптических технологий
","Директор мегафакультета трансляционных информационных технологий, ИТМО."""
Калюжная Анна Владимировна,,"Санкт-Петербургский национальный исследовательский
университет информационных технологий, механики и оптики
Справка об организации (Описание, которое понятно для потенциальных студентов\ пользователей): Университет ИТМО (Полное название — ""Федеральное государственное автономное образовательное учреждение высшего образования «Санкт-Петербургский национальный исследовательский университет информационных технологий, механики и оптики») — государственный ВУЗ Санкт-Петербурга, один из национальных исследовательских университетов  России. Является одним из лидеров в подготовке специалистов в области передовых информационных и оптических технологий.
 
",Доцент кафедры высокопроизводительных вычислений Университета ИТМО
Молодых Юрий Олегович,,,"РВК, Руководитель проектов"
Кайсин Константин Вячеславович,,,"РВК, Менеджер проектов"
Мальсагов Олег Русланович,"Cоучредитель и лидер техноброкерского агентства «Деловой Альянс», соучредитель и генеральный̆ директор агентства научных коммуникаций BOOM Communications, советник ректора Университета ИТМО по развитию, председатель совета директоров компании M-Group Ltd (Португалия).
2018-н.в. - член советов директоров в компаниях ООО «Гидрокомпозит», ООО «Тверской завод микросфер», ООО «ТИОКОЛ» (г.Тверь) 
2016г.-н.в. –  руководитель комитета по стратегическому развитию и конкурентоспособности Ученого совета Университета ИТМО
2015-н.в. - советник ректора по развитию, Университет ИТМО
2015 - заместитель директора по развитию, и.о. директора, Центр кластерного развития Томской области
2014-2015 - директор Инновационно-технологического бизнес-инкубатора, Томский государственный университет
Организатор и исполнитель трека федерального акселератора GenerationS BioTechMed 2014 и 2015 ОАО «РВК». Организатор и исполнитель трека GenerationS TechNet 2017 АО «РВК»","ИТМО - первый неклассический университет. Лидер Проекта 5-100. В Университете ИТМО cоздана инновационная экосистема по поддержке и развитию проектов, стартапов, а также малых инновационных предприятий (МИП).
ITMO.TECH в роли экспертно-методического центра курирует создание крупнейшего научно-образовательного и инновационно-производственного кластера на юге Санкт-Петербурга — ""ИТМО ХАЙПАРК"". «Лучший университет страны» (с) Д.Н.Песков.
","Советник ректора Университета ИТМО по развитию, соучредитель и лидер техноброкерского агентства «Деловой Альянс», соучредитель и генеральный̆ директор агентства научных коммуникаций BOOM Communications, председатель совета директоров компании M-Group Ltd (Португалия)."
Денисов Алексей Владимирович,"<p>Закончил МГТУ им. Баумана, получил степень к.т.н., проходил обучение в MIT (Кэмбридж, США), получил диплом MBA. </p>
<p>Работал на инженерных позициях в крупных зарубежных компаниях (Xerox, DaimlerChrysler). Руководил бизнес-проектами в McKinsey&Co, занимал руководящие должности в российских IT компаниях. В Сбербанке занимался внедрением принципов lean в ИТ-подразделениях, участвовал в создании Сбербанк Технологии и руководил в ней операционным департаментом. Является ментором стартапов ИТ-кластера Сколково.</p>
<p>В данный момент является Управляющим директором – начальником отдела Стратегии развития технологий в ПАО Сбербанк.</p>",Крупнейший банк в России и одна из крупнейших международных компаний – лидер инноваций в финансовой индустрии в России,"Управляющий директор – Начальник отдела стратегии развития технологий ПАО ""Сбербанк"""
Баранник Олег Ефимович,"<p>Менеджер и бизнес-коуч с опытом управления брендом в ИТ, девелопменте, химической промышленности С 2011г. Директор по маркетингу Системы управления инновациями Startbase.ru (совместный проект ФИОП (ГК Роснано) и B2B-Center) - платформы он-лайн акселерации проектов на всех стадиях их развития: от получения зададачи от индустриального партнера до продажи готового продукта. С 1999 по 2003 гг. занимался политическим консалтингом, проводил избирательные кампании всех уровней и ветвей власти. С 2003г. занимается экономическим маркетингом. В 2003 - 2007гг. выводил на рынок бренд химических добавок для бетонов “Полипласт”, ставший лидирующим на рынке строительной химии В 2008г. в качестве привлеченного консультанта Роснефти занимался разработкой коммуникационной стратегии и регламентов ключевой добывающей компании “РН Пурнефтегаз” (ЯМАО) В 2012-2013 г. в качестве партнера занимался развитием бренда Acceleraion - системного интегратора на рынке управления проектами в строительстве. С 2014г. - коуч GVA. Занимается как персональным коучингом проектов, так и коучинг в формате корпоративной акселерации (МЕГА, Фаберлик) C 2014г. является руководителем менторской сессии федерального акселератора Russian Startup Tour С 2014 г. является приглашенным ментором Generation S С 2012г. является партнером по акселерации ИТ Парка г.Казани, провел 14 отборов резидентов, участвовал в разработке стратегии ИТ Парка С 2012 г. провел более 200 тренингов и мастер-классов, посвященных бизнес-моделям стартапов</p>","Маркетплейс инноваторов. Система предназначена для активизации и повышения результативности инновационного процесса, объединяет в едином информационном и торговом пространстве участников инновационной деятельности","директор по маркетингу, Startbase"
Онлайн-симулятор,,,
Морозов Александр Андреевич,"<p>3 ВО: МГУ&nbsp;Ломоносова Экономический, Философский и МТУСИ экономический.&nbsp;Много лет&nbsp;занимался создание и выводом новых продуктов на РФ рынок и оттачивал навыки сложных продаж чего угодно кому угодно. Параллельно с этим основал небольшой&nbsp;фонд и компанию по привлечению финансирования и из-за перфекционизма разобрался&nbsp;в 250 источниках финансирования в деталях. Картежник-картограф (любит из всего&nbsp;делать карты).</p><p><br></p>","Экосистема Территория помогает промышленным предприятиям, крупным корпорациям и технологическим стартапам создавать новые продукты и сервисы и выводить их на рынок. Наша специализация - сопровождение проектов от технологической идеи до организации серийного производства. Делаем так, чтобы процесс вывода на рынок стал прозрачным и последовательным. Проектируем и производим изделия, подбираем производственных и сбытовых партнеров, выводим на рынок и привлекаем инвестиции.
","управляющий партнер промышленного акселератора «Территория», генеральный директор, Инвестиционное агентство «Высота»"""
Мирская Наталья Александровна,"<p>15 лет опыта поиска и подбора высшего и среднего персонала в России и за рубежом. Опыт работы в британском агентстве по поиску персонала «Антал Инт», инвестиционных банках UFG и «Тройка Диалог» и в Сбербанке, а также создание собственного бизнеса.</p>","Я консультирую венчурные и private equity фонды, а также технологические старт апы, работающие в сфере «новой экономики»: ИТ, биотехнологии, образование, креативные индустрии по ворпросам поиска персонала, организационного развития и командообразования.",Независимый  консультант по поиску персонала
Фертман Александр Давидович,"<p>Окончил Московский Инженерно-Физический Институт по специальности: «Ядерная физика». Кандидат физико-математических наук (специальность Приборы и методы экспериментальной физики). С 1994 по 2011 г.  работал в «ГНЦ РФ – Институт Теоретической и Экспериментальной Физики». Основатель и заместитель директора российско-немецкого «Исследовательского Центра ФАИР – Россия» 2008 – 2011.</p>
<p>С 2011 года один из организаторов и научный руководитель Кластера «Ядерных технологий» Фонда Сколково (сейчас кластер «Передовых производственных технологий»).</p>
<p>С 2015 года один из организаторов и заместитель руководителя рабочей группы Технет НТИ</p>
<p>Член Научно-технического совета Сколковского Института Науки и Технологий (Сколтех)</p>
<p>Доцент, НИЯУ МИФИ, </p>
<p>Член рабочих групп по фотонике Минпромторга РФ и Минобрнауки РФ. Более 150 публикаций по научным и инновационным направлениям из них 40 в реферируемых изданиях.</p>",Фонд развития Центра разработки и коммерциализации новых технологий занимается созданием уникального для России центра «Сколково».,"Директор по науке, технологиям и образованию, Фонд «Сколково»"
Кожанов Андрей Александрович,,,"старший преподаватель департамента социологии факультета социальных наук НИУ ВШЭ, научный сотрудник отдела истории и теории социологии Федерального научно-исследовательского социологического центра Российской академии наук"""
Давлетбаев Рустам Хайбуллович,"<p>экономист-эксперт, Руководитель центра систем распределенного реестра АНО ВО ""Университет Иннополис"". идеолог проекта Цифровая артель AGRARIUM. руководитель центра систем распределенного реестра (блокчейн) АНО ВО «Университет Иннополис»,</p>","Российский вуз, специализирующийся на образовании и научных исследованиях в области информационных технологий и робототехники
",Руководитель центра систем распределенного реестра АНО ВО «Университет Иннополис»
Игнатьев Кирилл Борисович,"<p>Кирилл Борисович Игнатьев — российский общественный деятель и бизнесмен, медиаменеджер. Председатель совета директоров группы компаний «Русские инвестиции». Руководитель проекта ""Технический прогресс и экономика будущего"".</p>","Группа компаний «Русские инвестиции» работает на рынке с октября 1999 года. Основная деятельность группы осуществляется на территории Российской Федерации — в Санкт-Петербурге, Москве, Ивановской области, Московской области, Ленинградской области, Тверской области, Псковской области, Ярославской области, Ставропольском крае, Ростовской области. Кроме этого группа компаний ведет деятельность в других государствах – Италия, ОАЭ, Франция, Дания, Сингапур, Швеция, Латвия.

Группа компаний «Русские инвестиции» объединяет более 25 компаний и предпринимателей, при этом каждый участник группы специализирован и ведет профильный проект. Координационную и совещательную функцию выполняет Совет директоров группы, который вырабатывает общие принципы деятельности компаний и дает рекомендации управляющим проектами.",председатель совета директоров группы компаний «Русские инвестиции»
Карташов Игорь Александрович,"<p>Сертифицированный бизнес-тренер. Более 7 лет занимается обучением персонала. Обучал сотрудников компаний: Газпромбанк, Сибур, Росбанк, Уралсиб и др.</p>
<p>Основатель компании «Slideman», которая занимается созданием продающих, инвестиционных и обучающих презентаций, а также готовит спикеров к выступлениям.</p>","Компания занимается созданием продающих, инвестиционных и обучающих презентаций, обучением персонала, а также подготовкой спикеров к выступлениям.","Основатель компании «Slideman», Сертифицированный бизнес-тренер"""
Макович Вячеслав Александрович,"Со-основатель венчурной инвестиционной компании AAA Trust ( www.3a-trust.com ),
создатель агентства личного брендинга SLV (www.makovich.ru), автор книг
«Твоя бизнес-идея. Мечтать и создавать» и «Сделай себе имя. Построение
личного бренда», ставших бестселлерами на Озон.",,партнер AAA Trust
Петренко Сергей Викторович,"Инвестиционный аналитик. Специализируется на подготовке стартап-проектов к
инвестированию, исследовании клиентского сегмента и проектном управлении.
Работал в консультантом по инвестиционной деятельности в бизнес-инкубаторе
""Ингрия"", инвестиционным аналитиком акселератора iDealMachine,
организатором конкурса конкурса IT стартапов Web Ready. Опыт работы с
портфельными проектами, венчурными фондами, инновационной экосистемой
России. Экспертиза основана на более 1000 стартап-проектов, общении более
100 венчурных фондов и бизнес-ангелов.",,Ингрия
Юрий Николаевич Сергеев,,,Институт опережающих исследований им. Шифферса
Белов Василий Михайлович,"<p>ГЕНЕРАЛЬНЫЙ ДИРЕКТОР SKOLKOVO VENTURES</p>
<p>Василий с мая 2017 года занимает должность Генерального директора ООО «Сколково – Венчурные инвестиции».</p>
<p>Ранее, c декабря 2011 года занимал должность Исполнительного директора кластера ЭЭТ Фонда «Сколково». В мае 2013 года был также назначен на должность старшего вице-президента по инновациям. С 2009 года он являлся также членом рабочей группы по энергоэффективности Комиссии при Президенте Российской Федерации по модернизации и технологическому развитию экономики России, специализируясь на государственной политике в сфере энергосбережения и энергоэффективности, инвестициях, инновациях, вопросах частно-государственного партнерства.</p>
<p>До этого, с 2006 года занимал должность генерального директора, члена Совета Директоров в «Фосборн Хоум», одной из первых и крупнейших компаний – кредитных брокеров на российском рынке, а в 2004–2006 годах работал консультантом McKinsey, специализируясь на проектах стратегического консалтинга в металлургии и банковском секторе. С 2001-го по 2002 год работал в IBS, затем – в РУСАЛе, где возглавлял отдел новых проектов в Дивизионе алюминиевых конструкций.</p>
<p>Окончил с отличием факультет вычислительной математики и кибернетики МГУ им. М.В. Ломоносова, имеет степень MBA в Американском институте бизнеса и экономики (AIBEc), прошел курс Executive Management & Leadership в Cambridge Business School.</p>
<p></p>
<p>С 2009 года является членом рабочей группы по энергоэффективности Комиссии при Президенте РФ по модернизации и технологическому развитию экономики России, в сентябре 2013 года вошел в состав Правления Фонда «Сколково». В ноябре 2013 года назначен на должность старшего вице-президента по инновациям.</p>","Skolkovo Ventures – инвестиционная платформа по привлечению внешнего финансирования, управления венчурными фондами, развитию и выводу на рынок новых финансовых продуктов для быстрорастущих технологичных компаний.
",Генеральный директор «Сколково – Венчурные Инвестиции»
Филипп Ван Парейс,"<p>Является одним из основателей Basic Income European Network (BIEN), где он возглавляет Международный совет, координирует Ethical Forum University Foundation. Он является членом Королевской академии наук Бельгии, литературы и изобразительных искусств, Международного института философии, Европейской академии наук и искусств и коллеги из Британской академии. В 2001 году он был удостоен премии Francqui, самой известной научной премии Бельгии.</p>",,"доктор философских наук, окончил Оксфордский университет"
Светлана Витальевна Чупшева,,,
Воробьев Сергей Ильич,"<p>Окончил Санкт-Петербургский технический университет, Состоит в Eisenhower Fellowship, USA; окончил INSEAD, HBS, LBS. За время своей карьеры в Executive Search с 1993 года Сергей получил опыт работы с большинством секторов экономики, крупнейшими и начинающими международными и российскими компаниями, специализировался на ТЭК, инвестиционно-банковских и профессиональных услугах, тяжелой промышленности. Участвовал в оказании содействия Правительству РФ в разработке стратегии экономического и социального развития.</p><p>Президент, один из основателей компании Ward Howell. Специализируется на поиске первых лиц, управлении изменениями через определение членов команды, отвечающих за разработку и реализацию стратегии развития компании или ее основных элементов, включая формирование команд высшего руководства целиком и сложные транснациональные поиски. На протяжении многих лет является советником на уровне Советов Директоров ряда ведущих российских компаний в вопросах стратегического развития, организационной структуры, компенсации и мотивации менеджмента, подбора и расстановки высшего руководства, развивая комплексный подход консалтинга в сфере управления человеческим капиталом. Он входит в Советы Директоров ряда крупных российских компаний, а также является членом Попечительского Совета Фонда целевого капитала Российской Экономической Школы, членом Экспертного Совета при Правительстве РФ, членом Наблюдательного совета Агентства стратегических инициатив (АСИ), членом Совета при Президенте Российской Федерации по развитию гражданского общества и правам человека, а с 2002 года он — член ""Young President Organization"" (Международная организация бизнес — лидеров), почетный сооснователь российского отделения. </p>
<p></p>","Международная консалтинговая компания со штаб-квартирой в Москве, системно занимается развитием лидеров и поиском руководителей, а также созданием для них продуктивной организационной среды, добиваясь повышения эффективности бизнеса и стоимости компаний своих клиентов. Основана в 1993 году при участии международной компании Ward Howell International, с 1951 года осуществляющей кадровый консалтинг. Начиная с 2008 года в Ward Howell функционирует Talent Equity Institute – внутренний научно-исследовательский центр, задача которого — создание и распространение новых знаний об  управленческих талантах и лидерстве на  развивающихся рынках.
","президент, компания Ward Howell"
Хидето Томабечи,"<p>Крупнейший специалист американо-японского коучинга, доктор компьютерной лингвистики (университет Карнеги-Меллон, США), профессор ДВФУ, автор 130 книг по проблемам современной политики, ведущий специалист в области международного коучинга, консультант по крупным инвестиционным проектам. Являлся членом Верхней палаты Парламента Японии</p>",,"Доктор, генеральный директор Cognitive Research Labs, Inc. (Япония)"
Менторская сессия,,,
Yudho Giri Sucahyo,"<p>Входит в академический совет Азиатско-Тихоокеанского Института цифровой экономики, является директором по академическим связям индонезийского офиса Ассоциации аудита и контроля информационных систем (ISACA), а также членом Сети стратегических исследований в области цифровых технологий (DIODE).</p>",,"профессор компьютерных наук Университета Индонезии, Австралийского Технологического Университета Кёртин (Австралия)"
Новоселов Константин Сергеевич,"Общее количество цитирований 157901, индекс Хирша 105. В 2011 году ученому за заслуги перед наукой указом королевы Елизаветы II присвоено звание рыцаря-бакалавра.",,"Российский и британский физик, лауреат Нобелевской премии по физике 2010 года, член Лондонского королевского общества"
Прохорович Андрей Анатольевич,"<p>CEO в Eurasia Development Ltd. и Dodo Pizza China,советник председателя «Китайского-Российского Инновационного Технопарка»,советник по взаимодействию с КНР Ассоциации кластеров и технопарков РФ,</p>
<p>сооснователь китайской экспортно-импортной компании Yantai OSTdNkin International Trade Co., Ltd., Советник по взаимодействию с субъектами инновационной деятельности СНГ ""Китайско-Российской зоны промышленного освоения высоких и новых технологий"".</p>","Eurasia Development Limited – первая компания на территории КНР, которая предоставляет услуги в сфере инновационного консалтинга и трансфера технологий для субъектов инновационной деятельности РФ и стран СНГ. Плотное сотрудничество с технопарками, центрами трансфера наукоемких технологий, университетами, промышленными предприятиями, венчурными фондами и инвесторами КНР, позволяют нам успешно реализовывать инновационные проекты на территории Китая. В наших услугах заинтересованы высшие школы, НИИ, НИУ, НПЦ, КБ, отделы R&D на предприятиях, разработчики ноу-хау технологий, которые не имеют необходимого опыта и навыков для самостоятельного выхода на рынок инноваций Китая.","Генеральный директор Eurasia Development Limited, стратегический партнер Dodo Pizza China"
Кудряшов Константин Александрович,"Эксперт по управлению крупными проектами, сервисом, привлечению финансирования, корпоративному управлению.
Реализовал ряд крупных проектов по направлению Цифровая экономика и Информационное общество в сферах медицина, ЖКХ, энергоэффективность, транспорт и др. 
Руководство структурами и программами проектов в области цифровых технологий на стыке с реальными секторами экономики в крупных компаниях.
Руководитель комитета по инвестициям Директориума при Агентстве стратегических инициатив, член Гильдии по Цифровой экономике и блокчейн-технологий МТПП, член СРО Национальной ассоциации независимых директоров
",,Руководитель комитета по инвестициям «Директориума»
Нурмагомедов Тимур Низамиевич,"Руководит проектами цифровой трансформации для частных корпораций и госсектора. Также отвечает за стратегию и развитие одного из стартапов-резидентов «Сколково» в области когнитивных систем. Ранее руководил подразделениями и программами проектов в области Цифровых технологий, стратегического и организационного развития в крупных российских и западных компаниях.",,"Эксперт по цифровой трансформации в частных корпорациях и госсекторе, руководитель блока бизнес-аналитики ООО ""Нейпам"""
Котельникова Надежда Владимировна,"<p>Опыт консультирования с 2003 года по вопросам управления финансами бизнеса, бухгалтерскому и управленческому учёту.</p>
<p> Консультирование предпринимателей по созданию и развитию бизнеса.</p>
<p>Разработка программ в EXCEL:</p>
<ul><li>по учету денежных средств бизнеса</li><li>формирования управленческой отчетности</li><li>формирование бюджетов</li><li>оценка инвестиционного проекта </li></ul>
<p></p>
<p>Опыт преподавания</p>
<p>2002 – по наст. время преподаватель программам дополнительного профессионального образования. Читаемые курсы: «Финансы и бухгалтерский учет для предпринимателей», «Управление затратами» , ""Бизнес-план инвестиционного проекта"",</p>
<p> «Международные стандарты финансовой отчетности», «Управление финансами».</p>
<p>1997 - по наст. время преподаватель, доцент кафедры Экономики предприятии Школы экономики и менеджмента ДВФУ. Читаемые дисциплины: &nbsp;«Экономика предприятия (организации)».</p>
<p>Разработанные массовые онлайн курсы, выложены на площадке Универсариума</p>
<p>«Советы желающим открыть своё дело» &nbsp;<a href=""http://universarium.org/course/622"">http://universarium.org/course/622</a></p>
<p>«Финансы и бухгалтерский учет для предпринимателя» <a href=""http://universarium.org/course/597"">http://universarium.org/course/597</a></p>
<p>Новые книги </p>
<p>Как подготовить бизнес план. Советы начинающему предпринимателю</p>
<p><a href=""https://www.litres.ru/nadezhda-vladimirovna-kotelnikova/kak-podgotovit-biznes-plan-sovety-nachinauschemu-predprinimatelu/"">https://www.litres.ru/nadezhda-vladimirovna-kotelnikova/kak-podgotovit-biznes-plan-sovety-nachinauschemu-predprinimatelu/</a></p>
<p>Лайфхаки по управлению финансами</p>
<p><a href=""https://www.litres.ru/nadezhda-kotelnikova/layfhaki-po-upravleniu-lichnymi-finansami/"">https://www.litres.ru/nadezhda-kotelnikova/layfhaki-po-upravleniu-lichnymi-finansami/</a></p>
<p></p>",,доцент кафедры Экономики и управления на предприятии ДВФУ.
